contact,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contacts,financial,campaigns,demographic
telephone,178.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,41
cellular,256.0,-1.7,94.215,-40.3,0.835,4991.6,1003.0,0,1,36
telephone,42.0,1.4,94.465,-41.8,4.959,5228.1,1004.0,2,1,47
cellular,442.0,1.4,93.918,-42.7,4.963,5228.1,1001.0,3,1,30
cellular,107.0,1.4,93.444,-36.1,4.964,5228.1,1003.0,0,1,53
telephone,644.5,1.1,93.994,-36.4,4.86,5191.0,1002.0,3,1,47
cellular,644.5,1.4,93.918,-42.7,4.962,5228.1,1005.0,2,1,38
telephone,91.0,1.1,93.994,-36.4,4.858,5191.0,1002.0,0,1,63
cellular,367.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,4,1,38
cellular,112.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,3,1,34
telephone,67.0,1.4,94.465,-41.8,4.959,5228.1,1002.0,2,1,54
cellular,360.0,-1.1,94.767,-50.8,1.031,4963.6,1000.0,4,1,44
telephone,171.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,0,1,67
cellular,644.5,-0.1,93.2,-42.0,4.12,5195.8,1001.0,2,1,53
telephone,136.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,0,1,45
cellular,438.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,57
cellular,127.0,-1.8,92.893,-46.2,1.334,5099.1,1001.0,2,1,63
cellular,192.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,2,1,64
telephone,270.0,1.4,94.465,-41.8,4.962,5228.1,1002.0,0,1,63
telephone,66.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,1,1,43
telephone,173.0,1.4,94.465,-41.8,4.864,5228.1,1005.0,2,1,54
cellular,384.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,2,1,48
cellular,14.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,2,1,43
cellular,245.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,1,1,66
telephone,287.0,1.1,93.994,-36.4,4.864,5191.0,1000.0,0,1,51
telephone,124.0,1.4,94.465,-41.8,4.962,5228.1,1000.0,0,1,40
cellular,97.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,4,1,52
cellular,205.0,-3.4,92.379,-29.8,0.803,5017.5,1001.0,2,1,39
telephone,62.0,1.1,93.994,-36.4,4.864,5191.0,1002.0,4,1,34
cellular,174.0,1.4,93.918,-42.7,4.958,5228.1,1001.0,2,1,33
cellular,50.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,2,1,58
telephone,138.0,1.1,93.994,-36.4,4.856,5191.0,1003.0,0,1,39
telephone,114.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,2,1,47
cellular,258.0,-1.8,93.075,-47.1,1.365,5099.1,997.0,0,4,35
cellular,644.5,-1.8,92.893,-46.2,1.334,5099.1,1001.0,2,1,38
cellular,48.0,1.4,93.444,-36.1,4.964,5228.1,1001.0,5,1,67
cellular,91.0,-1.8,93.075,-47.1,1.445,5099.1,1002.0,2,1,43
telephone,129.0,-1.8,93.075,-47.1,1.423,5099.1,1001.0,0,1,77
cellular,494.0,-1.8,93.749,-34.6,0.644,5008.7,997.0,2,3,63
